application_id,batch_id,state,office_name,dept_group,district,block,portal,treatment,assigned_ra,template_version,language,channel,filing_outcome,not_filed_reason,filing_date,registration_number,fee_paid_inr,payment_mode,evidence_url,screen_recording_url,payment_reference,pio_name,filed_by,due_date,notes
TG-096,tg2026q3_02,Telangana,Irrigation & CAD Department(Division No.6) GV Gudem Nalgonda,IRRIGATION AND CAD,Nalgonda,NA,RTI_telangana,plain,RA4,v3,en,portal,,,,,,,,,,,,,
TG-097,tg2026q3_02,Telangana,"Irrigation & CAD Department,Nizambad Urban",IRRIGATION AND CAD,Nizambad Urban,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,,,,,
TG-098,tg2026q3_02,Telangana,"Irrigation & CAD(IW&PW) Department, Medak",IRRIGATION AND CAD,Medak,NA,RTI_telangana,legal_salience,RA3,v3,en,portal,,,,,,,,,,,,,
TG-099,tg2026q3_02,Telangana,"Irrigation & CAD(IW&PW) Department,Hyderabad",IRRIGATION AND CAD,Hyderabad,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-100,tg2026q3_02,Telangana,"Irrigation &CAD Department,Bhupalpally",IRRIGATION AND CAD,Jayashankar Bhupalapally,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-101,tg2026q3_02,Telangana,"Irrigation&CAD Department,Division No.1, Mancherial",IRRIGATION AND CAD,Mancherial,NA,RTI_telangana,legal_salience,RA2,v3,en,portal,,,,,,,,,,,,,
TG-102,tg2026q3_02,Telangana,"Labour ,Employment Training&Factories(Corporation) Department,Jagtial",LABOUR,Jagtial,NA,RTI_telangana,plain,RA4,v3,en,portal,,,,,,,,,,,,,
TG-103,tg2026q3_02,Telangana,"Labour,Employement Training&Factories(Corporation) Department,Mulugu",LABOUR,Mulugu,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-104,tg2026q3_02,Telangana,"Labour,Employment,Training Factories Department, Jangaon",LABOUR,Jangaon,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-105,tg2026q3_02,Telangana,"Labour Employment ,Training &Factories Department, Kukatpally",LABOUR EMPLOYMENT,Kukatpally,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,,,,,
TG-106,tg2026q3_02,Telangana,"Labour Employment ,Training &Factories Department, Miryalaguda",LABOUR EMPLOYMENT,Miryalaguda,NA,RTI_telangana,plain,RA4,v3,en,portal,,,,,,,,,,,,,
TG-107,tg2026q3_02,Telangana,"Labour Employment ,Training &Factories Department, Nachram",LABOUR EMPLOYMENT,Nachram,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,,,,,
TG-108,tg2026q3_02,Telangana,"Labour Employment Training & Factories Department,Secretariat, Hyd",LABOUR EMPLOYMENT TRAINING AND FACTORIES,,,RTI_telangana,legal_salience,RA4,v3,en,portal,,,,,,,,,,,,,
TG-109,tg2026q3_02,Telangana,"Labour Employment Training& Factories Department, Ranga Reddy",LABOUR EMPLOYMENT TRAINING AND FACTORIES,Ranga Reddy,NA,RTI_telangana,legal_salience,RA3,v3,en,portal,,,,,,,,,,,,,
TG-110,tg2026q3_02,Telangana,"Labour Employment Training&Factories Department,Cir.No.18, Hyderabad",LABOUR EMPLOYMENT TRAINING AND FACTORIES,Hyderabad,NA,RTI_telangana,legal_salience,RA4,v3,en,portal,,,,,,,,,,,,,
TG-111,tg2026q3_02,Telangana,"Labour Employment Training&Factories Department,Cir.No.32, Hyderabad",LABOUR EMPLOYMENT TRAINING AND FACTORIES,Hyderabad,NA,RTI_telangana,plain,RA4,v3,en,portal,,,,,,,,,,,,,
TG-112,tg2026q3_02,Telangana,"Labour employment Training &Factories Department, Kothagudem",LABOUR EMPLOYMENT TRAINING AND FACTORIES,Bhadradri Kothagudem,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,,,,
TG-113,tg2026q3_02,Telangana,"Labour employment Training &Factories Department,Manuguru",LABOUR EMPLOYMENT TRAINING AND FACTORIES,Manuguru,NA,RTI_telangana,legal_salience,RA3,v3,en,portal,,,,,,,,,,,,,
TG-114,tg2026q3_02,Telangana,Mandal Praja Parishad Markook,MANDAL PRAJA PARISHAD MARKOOK,Siddipet,Markook,RTI_telangana,plain,RA4,v3,en,portal,,,,,,,,,,,,,
TG-115,tg2026q3_02,Telangana,"Mines & Geology Department, Jayashankar Bhupalapally",MINES AND GEOLOGY,Jayashankar Bhupalapally,Jayashankar Bhupalapally,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,,,,,
TG-116,tg2026q3_02,Telangana,Mines and Geology,MINES AND GEOLOGY,,NA,RTI_telangana,legal_salience,RA3,v3,en,portal,,,,,,,,,,,,,
TG-117,tg2026q3_02,Telangana,"Mines&Geology Department,,Rajanna Sircilla",MINES AND GEOLOGY,Rajanna Sircilla,NA,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,,,,,
TG-118,tg2026q3_02,Telangana,"Municipal Administration & Urban Development Dept.,kothagudem",MUNICIPAL ADMINISTRATION AND URBAN DEVELOPMENT,Bhadradri Kothagudem,kothagudem,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,,,,
TG-119,tg2026q3_02,Telangana,"Municipal Administration & Urban Development, Zaheerabad Sangareddy",MUNICIPAL ADMINISTRATION AND URBAN DEVELOPMENT,Sangareddy,,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,,,,
TG-120,tg2026q3_02,Telangana,"Municipal Administration&Urban Development,Medak",MUNICIPAL ADMINISTRATION AND URBAN DEVELOPMENT,Medak,,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,,,,
TG-121,tg2026q3_02,Telangana,"O/o Tahsildar, Mahamutharam, Jayashankar Bhupalapally Dist",O/O TAHSILDAR,Jayashankar Bhupalapally,Mahamutharam,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-122,tg2026q3_02,Telangana,"O/o Tahsildar, Tekumatla",O/O TAHSILDAR,Tekumatla,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,,,,,
TG-123,tg2026q3_02,Telangana,"O/o Tahsildar, ghanpur(M)",O/O TAHSILDAR,NA,ghanpur(M),RTI_telangana,legal_salience,RA4,v3,en,portal,,,,,,,,,,,,,
TG-124,tg2026q3_02,Telangana,"PANCHAYAT RAJ, Elkathurthi",PANCHAYAT RAJ,Hanumakonda,Elkathurthi,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,,,,,
TG-125,tg2026q3_02,Telangana,"PANCHAYAT RAJ, Hasanparthy",PANCHAYAT RAJ,Hanumakonda,Hasanparthy,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-126,tg2026q3_02,Telangana,Panchayat Raj,PANCHAYAT RAJ,,,RTI_telangana,legal_salience,RA3,v3,en,portal,,,,,,,,,,,,,
TG-127,tg2026q3_02,Telangana,"Panchayat Raj & Rural (DYEE PR SD Ghattu), Jogulamba Gadwal",PANCHAYAT RAJ AND RURAL,Jogulamba Gadwal,Ghattu,RTI_telangana,plain,RA4,v3,en,portal,,,,,,,,,,,,,
TG-128,tg2026q3_02,Telangana,"Panchayat Raj & Rural (DYEE PR SD Manopad), Jogulamba Gadwal",PANCHAYAT RAJ AND RURAL,Jogulamba Gadwal,Manopad,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,,,,,
TG-129,tg2026q3_02,Telangana,"Panchayat Raj & Rural(Zilla Praja Parishad)Department,Jagtial",PANCHAYAT RAJ AND RURAL,Jagtial,NA,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,,,,,
