Department,District,Block
Animal Husbadry & Veterinary Department(AVH) Narsapur,Narsapur,NA
Animal Husbadry & Veterinary Department(AVH) Nirmal,Nirmal,NA
Animal Husbadry & Veterinary Department(AVH) Paloncha,Paloncha,NA
Animal Husbadry & Veterinary Department(AVH) Patancheru,Patancheru,NA
Animal Husbadry & Veterinary Department(AVH) Sadashivpet,Sadashivpet,NA
Animal Husbadry & Veterinary Department(AVH) Shadnagar,Shadnagar,NA
Animal Husbadry & Veterinary Department(AVH) Siddipet,Siddipet,NA
Animal Husbadry & Veterinary Department(AVH) Sircilla,Sircilla,NA
Animal Husbadry & Veterinary Department(AVH) Thungathurthy,Thungathurthy,NA
Animal Husbadry & Veterinary Department(AVH) Utnoor,Utnoor,NA
Animal Husbadry & Veterinary Department(AVH) Varni,Varni,NA
Animal Husbadry & Veterinary Department(AVH) Wanaparthy,Wanaparthy,NA
Animal Husbadry & Veterinary Department(AVH) YELLANDU,YELLANDU,NA
Animal Husbadry & Veterinary Department(AVH) Zaheerabad,Zaheerabad,NA
"Animal Husbadry & Veterinary Department(AVH), Bodhan",Bodhan,NA
"Animal Husbadry & Veterinary Department(AVH), Chandur",Chandur,NA
"Animal Husbadry & Veterinary Department(AVH), Chennur",Chennur,NA
"Animal Husbadry & Veterinary Department(AVH), Devarakonda",Devarakonda,NA
"Animal Husbadry & Veterinary Department(AVH), Godavarikhani",Godavarikhani,NA
"Animal Husbadry & Veterinary Department(AVH), Huzurabad",Huzurabad,NA
"Animal Husbadry & Veterinary Department(AVH), Huzurnagar",Huzurnagar,NA
"Animal Husbadry & Veterinary Department(AVH), Kodad",Kodad,NA
"Animal Husbadry & Veterinary Department(AVH), Luxettipet",Luxettipet,NA
"Animal Husbadry & Veterinary Department(AVH), Manthani",Manthani,NA
"Animal Husbadry & Veterinary Department(AVH), Miryalguda",Miryalguda,NA
"Animal Husbadry & Veterinary Department(AVH), Mudhole",Mudhole,NA
"Animal Husbadry & Veterinary Department(AVH), Nakreka",Nakreka,NA
"Animal Husbadry & Veterinary Department(AVH), Nereducherla",Nereducherla,NA
"Animal Husbadry & Veterinary Department(AVH), Nidmanoor",Nidmanoor,NA
"Animal Husbadry & Veterinary Department(AVH), Parkal",Parkal,NA
"Animal Husbadry & Veterinary Department(AVH), Pathergatti",Pathergatti,NA
"Animal Husbadry & Veterinary Department(AVH),Bheemgal",Bheemgal,NA
"Animal Husbadry & Veterinary Department(AVH),Madhira",Madhira,NA
"Animal Husbadry & Veterinary Department(AVH),MADNOOR",MADNOOR,NA
"Animal Husbadry & Veterinary Department(AVH),N.K.Palli",N.K.Palli,NA
"Animal Husbadry & Veterinary Department(AVH),Suryapet",Suryapet,NA
Animal Husbadry & Veterinary Department(AVH). Ghanpur(Stn,. Ghanpur(Stn,NA
Animal Husbadry & Veterinary Department(AVH). Mahabubabad,Mahabubabad,NA
Animal Husbadry & Veterinary Department(AVH). Maripeda,. Maripeda,NA
Animal Husbadry & Veterinary Department(AVH).BANSWADA,.BANSWADA,NA
Animal Husbadry & Veterinary Department(AVH).BICHKUNDA,.BICHKUNDA,NA
Animal Husbadry & Veterinary Department(AVH).DOMAKONDA,.DOMAKONDA,NA
Animal Husbadry & Veterinary Department(AVH).Eturunagaram,.Eturunagaram,NA
Animal Husbadry & Veterinary Department(AVH).Jangaon,Jangaon,NA
Animal Husbadry & Veterinary Department(AVH).KAMAREDDY,Kamareddy,NA
Animal Husbadry & Veterinary Department(AVH).Kodakandla,.Kodakandla,NA
Animal Husbadry & Veterinary Department(AVH).Muluggu,.Muluggu,NA
Animal Husbadry & Veterinary Department(AVH).Narsampet,.Narsampet,NA
Animal Husbadry & Veterinary Department(AVH).Sathupalli,.Sathupalli,NA
Animal Husbadry & Veterinary Department(AVH).Thimmampet,.Thimmampet,NA
Animal Husbadry & Veterinary Department(AVH).Venkatapuram,.Venkatapuram,NA
Animal Husbadry & Veterinary Department(AVH).Wardhannapet,.Wardhannapet,NA
Animal Husbadry & Veterinary Department(AVH).YELLAREDDY,.YELLAREDDY,NA
Animal Husbadry & Veterinary Department(AVH)Asifabad,Asifabad,NA
Animal Husbadry & Veterinary Department(AVH)Wankidi,Wankidi,NA
Animal Husbadry & Veterinary Department(DCBF) Godgarpally,Godgarpally,NA
Animal Husbadry & Veterinary Department(DV&AHO) Mahabubabad,Mahabubabad,NA
"Animal Husbadry & Veterinary Department(DV&AHO), Peddapally",Peddapally,NA
Animal Husbadry & Veterinary Department(DVH) Adilabad,Adilabad,NA
Animal Husbadry & Veterinary Department(DVH) Mahabubnagar,Mahabubnagar,NA
Animal Husbadry & Veterinary Department(DVH) Sangareddy,Sangareddy,NA
"Animal Husbadry & Veterinary Department(DVH), Karimnagar",Karimnagar,NA
"Animal Husbadry & Veterinary Department(DVH), Nizamabad",Nizamabad,NA
"Animal Husbadry & Veterinary Department(DVH),Khammam",Khammam,NA
Animal Husbadry & Veterinary Department(ISDP) Mahabubnagar,Mahabubnagar,NA
Animal Husbadry & Veterinary Department(ISDP) Sangareddy,Sangareddy,NA
"Animal Husbadry & Veterinary Department(PVC) ,choppadandi",choppadandi,NA
Animal Husbadry & Veterinary Department(PVC) Abdullapurmet,Abdullapurmet,NA
Animal Husbadry & Veterinary Department(PVC) Addakal,Addakal,NA
Animal Husbadry & Veterinary Department(PVC) AIZA,AIZA,NA
Animal Husbadry & Veterinary Department(PVC) Akunoor,Akunoor,NA
Animal Husbadry & Veterinary Department(PVC) Akupamula,Akupamula,NA
Animal Husbadry & Veterinary Department(PVC) Alladurg,Alladurg,NA
Animal Husbadry & Veterinary Department(PVC) Allipur,Allipur,NA
Animal Husbadry & Veterinary Department(PVC) Aloor,Aloor,NA
Animal Husbadry & Veterinary Department(PVC) ALOOR,ALOOR,NA
Animal Husbadry & Veterinary Department(PVC) Amangal,Amangal,NA
Animal Husbadry & Veterinary Department(PVC) Amarchintha,Amarchintha,NA
Animal Husbadry & Veterinary Department(PVC) Ambaripet,Ambaripet,NA
Animal Husbadry & Veterinary Department(PVC) Amdapur,Amdapur,NA
Animal Husbadry & Veterinary Department(PVC) Anajipur,Anajipur,NA
Animal Husbadry & Veterinary Department(PVC) ANANTHAPURAM,ANANTHAPURAM,NA
Animal Husbadry & Veterinary Department(PVC) Ankilla,Ankilla,NA
Animal Husbadry & Veterinary Department(PVC) Apparala,Apparala,NA
Animal Husbadry & Veterinary Department(PVC) Argul,Argul,NA
Animal Husbadry & Veterinary Department(PVC) Arnakonda,Arnakonda,NA
Animal Husbadry & Veterinary Department(PVC) Arutla,Arutla,NA
Animal Husbadry & Veterinary Department(PVC) Aswapuram,Aswapuram,NA
Animal Husbadry & Veterinary Department(PVC) Athmakur,Athmakur,NA
Animal Husbadry & Veterinary Department(PVC) ATHMAKUR (S,ATHMAKUR (S,NA
Animal Husbadry & Veterinary Department(PVC) Atmakur,Atmakur,NA
Animal Husbadry & Veterinary Department(PVC) Azamnagar,Azamnagar,NA
Animal Husbadry & Veterinary Department(PVC) B.D.Pally,B.D.Pally,NA
Animal Husbadry & Veterinary Department(PVC) Bairanpally,Bairanpally,NA
Animal Husbadry & Veterinary Department(PVC) Balanagar,Balanagar,NA
Animal Husbadry & Veterinary Department(PVC) Balapala,Balapala,NA
Animal Husbadry & Veterinary Department(PVC) Balemla,Balemla,NA
Animal Husbadry & Veterinary Department(PVC) Balsurkonda,Balsurkonda,NA
Animal Husbadry & Veterinary Department(PVC) Bandameedipally,Bandameedipally,NA
Animal Husbadry & Veterinary Department(PVC) Bantaram,Bantaram,NA
Animal Husbadry & Veterinary Department(PVC) Basar,Basar,NA
Animal Husbadry & Veterinary Department(PVC) Bayyaram,Bayyaram,NA
Animal Husbadry & Veterinary Department(PVC) Bazarhathnoor,Bazarhathnoor,NA
Animal Husbadry & Veterinary Department(PVC) Beernandi,Beernandi,NA
Animal Husbadry & Veterinary Department(PVC) Bejjanki,Bejjanki,NA
Animal Husbadry & Veterinary Department(PVC) Bejjur,Bejjur,NA
Animal Husbadry & Veterinary Department(PVC) Bela,Bela,NA
Animal Husbadry & Veterinary Department(PVC) Bellampally,Bellampally,NA
Animal Husbadry & Veterinary Department(PVC) Bhainsa,Bhainsa,NA
Animal Husbadry & Veterinary Department(PVC) Bhanoor,Bhanoor,NA
Animal Husbadry & Veterinary Department(PVC) Bhoompally,Bhoompally,NA
Animal Husbadry & Veterinary Department(PVC) Bhoothpur,Bhoothpur,NA
Animal Husbadry & Veterinary Department(PVC) Bhosi,Bhosi,NA
Animal Husbadry & Veterinary Department(PVC) Bhupalpally,Jayashankar Bhupalapally,NA
Animal Husbadry & Veterinary Department(PVC) Bodu,Bodu,NA
Animal Husbadry & Veterinary Department(PVC) Bommaraspet,Bommaraspet,NA
Animal Husbadry & Veterinary Department(PVC) Borancha,Borancha,NA
Animal Husbadry & Veterinary Department(PVC) Bowenpally,Bowenpally,NA
Animal Husbadry & Veterinary Department(PVC) Buneedu,Buneedu,NA
Animal Husbadry & Veterinary Department(PVC) CC Kunta,CC Kunta,NA
Animal Husbadry & Veterinary Department(PVC) Chalki,Chalki,NA
Animal Husbadry & Veterinary Department(PVC) Challagarige,Challagarige,NA
Animal Husbadry & Veterinary Department(PVC) Challasamudram,Challasamudram,NA
Animal Husbadry & Veterinary Department(PVC) Chandrugonda,Chandrugonda,NA
Animal Husbadry & Veterinary Department(PVC) Chegunta,Chegunta,NA
Animal Husbadry & Veterinary Department(PVC) Chelpur,Chelpur,NA
Animal Husbadry & Veterinary Department(PVC) Chengole,Chengole,NA
Animal Husbadry & Veterinary Department(PVC) Chepyal,Chepyal,NA
Animal Husbadry & Veterinary Department(PVC) Chilkur,Chilkur,NA
Animal Husbadry & Veterinary Department(PVC) Chinagunta Pally,Chinagunta Pally,NA
Animal Husbadry & Veterinary Department(PVC) ChincholiM,ChincholiM,NA
Animal Husbadry & Veterinary Department(PVC) Chinna Kodur,Chinna Kodur,NA
Animal Husbadry & Veterinary Department(PVC) Chinnaporla,Chinnaporla,NA
Animal Husbadry & Veterinary Department(PVC) Chintamadaka,Chintamadaka,NA
Animal Husbadry & Veterinary Department(PVC) Chiragpally,Chiragpally,NA
Animal Husbadry & Veterinary Department(PVC) CHIRRAKUNTA,CHIRRAKUNTA,NA
Animal Husbadry & Veterinary Department(PVC) Chitkul,Chitkul,NA
Animal Husbadry & Veterinary Department(PVC) Chittapur,Chittapur,NA
Animal Husbadry & Veterinary Department(PVC) Chityal,Chityal,NA
Animal Husbadry & Veterinary Department(PVC) Choutapally,Choutapally,NA
Animal Husbadry & Veterinary Department(PVC) Choutkur,Choutkur,NA
