application_id,batch_id,state,office_name,dept_group,district,block,portal,treatment,assigned_ra,template_version,language,channel,filing_outcome,not_filed_reason,filing_date,registration_number,fee_paid_inr,payment_mode,evidence_url,payment_reference,due_date,notes
TG-130,tg2026q3_02,Telangana,Panchayat Raj&Rural Developmen(Mandal Praja Parishad) GHANPUR(M),PANCHAYAT RAJ AND RURAL DEVELOPMEN,Jayashankar Bhupalpally,Ghanpur,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,
TG-135,tg2026q3_02,Telangana,"Panchayat Raj & Rural Development Department, Rajoli",PANCHAYAT RAJ AND RURAL DEVELOPMENT,Jogulamba Gadwal,Rajoli,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,
TG-141,tg2026q3_02,Telangana,"Panchayat Raj&Rural Development Department(MPP) Narmetta,Jangaon",PANCHAYAT RAJ AND RURAL DEVELOPMENT,Jangaon,Narmetta,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,
TG-143,tg2026q3_02,Telangana,"Panchayat Raj&Rural Development Department,Bela",PANCHAYAT RAJ AND RURAL DEVELOPMENT,Adilabad,Bela,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,
TG-151,tg2026q3_02,Telangana,Panchayath Raj&Rural Department(Mandal Praja Parishad) Khanapur,PANCHAYATH RAJ AND RURAL,Hanumakonda,Khanapur,RTI_telangana,legal_salience,RA3,v3,en,portal,,,,,,,,,,
TG-156,tg2026q3_02,Telangana,"Panchayathraj&Rural(MPP) Development,Wazeedu",PANCHAYATHRAJ AND RURAL,Mulugu,Wazeedu,RTI_telangana,legal_salience,RA3,v3,en,portal,,,,,,,,,,
TG-157,tg2026q3_02,Telangana,"Planning Department, Jangaon",PLANNING,Jangaon,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,
TG-160,tg2026q3_02,Telangana,"Ramagundam Municipal Corporation, Peddapalli",RAMAGUNDAM MUNICIPAL CORPORATION,Peddapalli,NA,RTI_telangana,legal_salience,RA3,v3,en,portal,,,,,,,,,,
TG-162,tg2026q3_02,Telangana,"Registration and Stamps Department, Miryalaguda",REGISTRATION AND STAMPS,Miryalaguda,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,
TG-163,tg2026q3_02,Telangana,"Registration and Stamps Department,(SADASIVPET)Sangareddy",REGISTRATION AND STAMPS,Sangareddy,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,
TG-168,tg2026q3_02,Telangana,"REVENUE DEPARTMENT, Jharasangam, Sangareddy",REVENUE,Sangareddy,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,
TG-171,tg2026q3_02,Telangana,"Revenue Department(Registration and Stamps) Department,badrachalam",REVENUE,badrachalam,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,
TG-174,tg2026q3_02,Telangana,"Revenue Department, Lakdikapul Hyderabad",REVENUE,Hyderabad,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,
TG-176,tg2026q3_02,Telangana,"Revenue Department, nagireddypet",REVENUE,nagireddypet,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,
TG-179,tg2026q3_02,Telangana,"Revenue Department,Jukkal",REVENUE,Jukkal,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,
TG-180,tg2026q3_02,Telangana,"Revenue Department,Toopran",REVENUE,Toopran,NA,RTI_telangana,legal_salience,RA3,v3,en,portal,,,,,,,,,,
TG-186,tg2026q3_02,Telangana,SC Development Department(Govt. SC College Boys Hostel) Vikarabad,SC DEVELOPMENT,Vikarabad,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,
TG-189,tg2026q3_02,Telangana,SC.Development Department(GOVT SC BOYS HOSTEL)CHITYAL,SC.DEVELOPMENT,CHITYAL,NA,RTI_telangana,legal_salience,RA3,v3,en,portal,,,,,,,,,,
TG-191,tg2026q3_02,Telangana,SC.Development Department(GOVT SC. BOYS HOSTEL) MAHADEVPUR,SC.DEVELOPMENT,MAHADEVPUR,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,
TG-192,tg2026q3_02,Telangana,Scheduled Caste Department,SCHEDULED CASTE,NA,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,
TG-193,tg2026q3_02,Telangana,"Scheduled Caste Department(Govt.SCBH, B)Kalwakurthy",SCHEDULED CASTE,B)Kalwakurthy,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,
TG-198,tg2026q3_02,Telangana,"School Education,Mulugu",SCHOOL EDUCATION,Mulugu,NA,RTI_telangana,legal_salience,RA3,v3,en,portal,,,,,,,,,,
TG-206,tg2026q3_02,Telangana,"Tahsildar Office, Cherial",TAHSILDAR OFFICE,Siddipet,Cherial,RTI_telangana,legal_salience,RA3,v3,en,portal,,,,,,,,,,
TG-209,tg2026q3_02,Telangana,"Tahsildar Office, Nallabelly",TAHSILDAR OFFICE,Hanumakonda,Nallabelly,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,
TG-217,tg2026q3_02,Telangana,Tahsildar Office Gudihathnoor,TAHSILDAR OFFICE GUDIHATHNOOR,Adilabad,Gudihathnoor,RTI_telangana,legal_salience,RA3,v3,en,portal,,,,,,,,,,
TG-222,tg2026q3_02,Telangana,"TGSRTC ,DM Falaknuma",TGSRTC,DM Falaknuma,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,
TG-232,tg2026q3_02,Telangana,"Transport,Roads and Buildings Department(Raparthi Nagar-2),Khammam",TRANSPORT,Khammam,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,
TG-240,tg2026q3_02,Telangana,"Tribal Welfare Department,Ethurnagaram",TRIBAL WELFARE,Ethurnagaram,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,
