application_id,batch_id,state,office_name,dept_group,district,block,portal,treatment,assigned_ra,template_version,language,channel,filing_outcome,not_filed_reason,filing_date,registration_number,fee_paid_inr,payment_mode,evidence_url,screen_recording_url,payment_reference,pio_name,filed_by,due_date,notes
TG-121,tg2026q3_02,Telangana,"O/o Tahsildar, Mahamutharam, Jayashankar Bhupalapally Dist",O/O TAHSILDAR,Jayashankar Bhupalapally,Mahamutharam,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-124,tg2026q3_02,Telangana,"PANCHAYAT RAJ, Elkathurthi",PANCHAYAT RAJ,Hanumakonda,Elkathurthi,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,,,,,
TG-125,tg2026q3_02,Telangana,"PANCHAYAT RAJ, Hasanparthy",PANCHAYAT RAJ,Hanumakonda,Hasanparthy,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-129,tg2026q3_02,Telangana,"Panchayat Raj & Rural(Zilla Praja Parishad)Department,Jagtial",PANCHAYAT RAJ AND RURAL,Jagtial,NA,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,,,,,
TG-132,tg2026q3_02,Telangana,"Panchayat Raj & Rural Development Department, Hathnoora, Sangareddy",PANCHAYAT RAJ AND RURAL DEVELOPMENT,Sangareddy,Hathnoora,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-139,tg2026q3_02,Telangana,Panchayat Raj and Rural Development(Mandal Praja Parishad)Chennur,PANCHAYAT RAJ AND RURAL DEVELOPMENT,Mancherial,Chennur,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-142,tg2026q3_02,Telangana,"Panchayat Raj&Rural Development Department, Adilabad",PANCHAYAT RAJ AND RURAL DEVELOPMENT,Adilabad,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-144,tg2026q3_02,Telangana,"Panchayat Raj&Rural Development Department,Mahabubabad",PANCHAYAT RAJ AND RURAL DEVELOPMENT,Adilabad,NA,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,,,,,
TG-150,tg2026q3_02,Telangana,"Panchayat Raj&Rural Dvelopment,Miryalaguda",PANCHAYAT RAJ AND RURAL DVELOPMENT,Nalgonda,Miryalaguda,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-152,tg2026q3_02,Telangana,Panchayath Raj&Rural Department(Mandal Praja Parishad) Nekkonda,PANCHAYATH RAJ AND RURAL,Hanumakonda,Nekkonda,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-158,tg2026q3_02,Telangana,"Planning Department, Warangal",PLANNING,Warangal,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-161,tg2026q3_02,Telangana,"Registration and Stamps Department, BHADRACHALAM",REGISTRATION AND STAMPS,BHADRACHALAM,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-164,tg2026q3_02,Telangana,"Registration and Stamps Department,SATHUPALLY",REGISTRATION AND STAMPS,SATHUPALLY,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-170,tg2026q3_02,Telangana,"Revenue Department ,Tahsildar office Kothagudem",REVENUE,Bhadradri Kothagudem,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-178,tg2026q3_02,Telangana,"Revenue Department,Bijinepally",REVENUE,Bijinepally,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-183,tg2026q3_02,Telangana,Revenue Department Kagaznagar Division,REVENUE DEPARTMENT KAGAZNAGAR DIVISION,,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-184,tg2026q3_02,Telangana,Revenue Department Lingapur Mandal,REVENUE DEPARTMENT LINGAPUR MANDAL,,NA,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,,,,,
TG-187,tg2026q3_02,Telangana,"SC Development Department,Kamareddy",SC DEVELOPMENT,Kamareddy,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-196,tg2026q3_02,Telangana,"Scheduled Caste Development Department,Nagarkurnool",SCHEDULED CASTE DEVELOPMENT,Nagarkurnool,NA,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,,,,,
TG-197,tg2026q3_02,Telangana,"School Education Department,Jangaon",SCHOOL EDUCATION,Jangaon,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-200,tg2026q3_02,Telangana,State Disaster Response and Fire Service Warangal,STATE DISASTER RESPONSE AND FIRE SERVICE WARANGAL,Warangal,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-202,tg2026q3_02,Telangana,"Survey and Land Department, Wanaparthy",SURVEY AND LAND,Wanaparthy,NA,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,,,,,
TG-208,tg2026q3_02,Telangana,"Tahsildar Office, Khanapur",TAHSILDAR OFFICE,Warangal,Khanapur,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-213,tg2026q3_02,Telangana,"Tahsildar Office,Inugurthy",TAHSILDAR OFFICE,Mahabubabad,Inugurthy,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-216,tg2026q3_02,Telangana,"Tahsildar office,Kesamudram",TAHSILDAR OFFICE,Mahabubabad,Kesamudram,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,,,,,
TG-218,tg2026q3_02,Telangana,Telangana State AIDS Control Society,TELANGANA STATE AIDS CONTROL SOCIETY,NA,NA,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,,,,,
TG-219,tg2026q3_02,Telangana,"Telangana Vaidya Vidhana Parishad,Bhadrachalam",TELANGANA VAIDYA VIDHANA PARISHAD,Bhadrachalam,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-221,tg2026q3_02,Telangana,"Telangana Vaidya vidhana parishad ,yellandu",TELANGANA VAIDYA VIDHANA PARISHAD,yellandu,NA,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,,,,,
TG-226,tg2026q3_02,Telangana,"TGSRTC ,DM NAGARKURNOOL",TGSRTC,Nagarkurnool,NA,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,,,,,
TG-227,tg2026q3_02,Telangana,"TGSRTC ,DM PICKET",TGSRTC,DM PICKET,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-233,tg2026q3_02,Telangana,"Transport,Roads and Buildings Department(South Buildings Division),Hyd",TRANSPORT,Hyd,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-234,tg2026q3_02,Telangana,"Transport,Roads&Buildings Department,(R&B) Division, Kothagudem",TRANSPORT,Bhadradri Kothagudem,NA,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,,,,,
TG-236,tg2026q3_02,Telangana,"Transport R&B Department,Mulugu",TRANSPORT R AND B,Mulugu,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-241,tg2026q3_02,Telangana,Veterinary and Animal HusbandryDepartment(Primary Veterinary Center) R,VETERINARY AND ANIMAL HUSBANDRYDEPARTMENT,Yadadri Bhuvanagiri,Ramannapet or Rajapet,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-242,tg2026q3_02,Telangana,Veterinary and Animal HusbandryDepartment(Primary Veterinary Center) V,VETERINARY AND ANIMAL HUSBANDRYDEPARTMENT,Yadadri Bhuvanagiri,Valigonda,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-245,tg2026q3_02,Telangana,Veterinary and Animal HusbandryDept(PrimaryVeterinaryCenter)Narayanpur,VETERINARY AND ANIMAL HUSBANDRYDEPT,Narayanpur,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-247,tg2026q3_02,Telangana,"Women Development & child welfare Department,,Yellareddy",WOMEN DEVELOPMENT AND CHILD WELFARE,Yellareddy,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
